mu_r	b
4999.9	40.0
4999.9039999999995	40.0
4999.907999999999	40.0
4999.911999999999	40.0
4999.915999999999	40.0
4999.919999999999	40.0
4999.923999999999	40.0
4999.927999999999	40.0
4999.931999999999	40.0
4999.935999999999	40.0
4999.939999999999	40.0
4999.943999999999	40.0
4999.9479999999985	40.0
4999.951999999998	40.0
4999.955999999998	40.0
4999.959999999998	40.0
4999.963999999998	40.0
4999.967999999998	40.0
4999.971999999998	40.0
4999.975999999998	40.0
4999.979999999998	40.0
4999.983999999998	40.0
4999.987999999998	40.0
4999.9919999999975	40.0
4999.995999999997	40.0
4999.999999999997	40.0
5000.003999999997	40.0
